Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,3/4/19 9:21,33041.7,28073.6,8.36,40856,26.1297,Logged,,,
2,3/4/19 9:31,33041.7,28087.4,8.44,40792.7,26.0847,,,,
3,3/4/19 9:41,33041.7,28087.4,8.44,40792.7,26.0847,,,,
4,3/4/19 9:51,33041.7,28070.8,8.44,40768.8,26.0677,,,,
5,3/4/19 10:01,33041.7,28087.4,8.45,40782.3,26.0773,,,,
6,3/4/19 10:11,33041.7,28087.4,8.45,40782.3,26.0773,,,,
7,3/4/19 10:21,33041.7,28081.9,8.45,40774.4,26.0717,,,,
8,3/4/19 10:31,33041.7,28079.1,8.47,40749.6,26.0541,,,,
9,3/4/19 10:41,33041.7,28065.3,8.48,40719.4,26.0327,,,,
10,3/4/19 10:51,33041.7,28065.3,8.5,40698.7,26.0179,,,,
11,3/4/19 11:01,33041.7,28070.8,8.52,40685.9,26.0089,,,,
12,3/4/19 11:11,33041.7,28062.5,8.53,40663.6,25.993,,,,
13,3/4/19 11:21,33041.7,28084.6,8.57,40654,25.9862,,,,
14,3/4/19 11:31,33041.7,28101.3,8.57,40678,26.0032,,,,
15,3/4/19 11:41,33041.7,28101.3,8.58,40667.7,25.9959,,,,
16,3/4/19 11:51,33041.7,28092.9,8.6,40635,25.9727,,,,
17,3/4/19 12:01,33041.7,28129,8.6,40686.7,26.0094,,,,
18,3/4/19 12:11,33041.7,28129,8.63,40655.7,25.9874,,,,
19,3/4/19 12:21,33041.7,28123.4,8.63,40647.7,25.9817,,,,
20,3/4/19 12:31,33041.7,28145.6,8.64,40669.2,25.997,,,,
21,3/4/19 12:41,33041.7,28151.2,8.65,40666.9,25.9954,,,,
22,3/4/19 12:51,33041.7,28151.2,8.65,40666.9,25.9954,,,,
23,3/4/19 13:01,33041.7,28156.7,8.66,40664.5,25.9936,,,,
24,3/4/19 13:11,33041.7,28142.8,8.66,40644.6,25.9795,,,,
25,3/4/19 13:21,33041.7,28181.7,8.67,40689.9,26.0117,,,,
26,3/4/19 13:31,33041.7,28156.7,8.68,40643.8,25.979,,,,
27,3/4/19 13:41,33041.7,28167.8,8.7,40639.1,25.9756,,,,
28,3/4/19 13:51,33041.7,28173.4,8.7,40647.1,25.9813,,,,
29,3/4/19 14:01,33041.7,28173.4,8.7,40647.1,25.9813,,,,
30,3/4/19 14:11,33041.7,28187.3,8.72,40646.4,25.9808,,,,
31,3/4/19 14:21,33041.7,28165,8.72,40614.5,25.9582,,,,
32,3/4/19 14:31,33041.7,28192.9,8.72,40654.4,25.9865,,,,
33,3/4/19 14:41,33041.7,28178.9,8.72,40634.4,25.9723,,,,
34,3/4/19 14:51,33041.7,28187.3,8.73,40636.1,25.9735,,,,
35,3/4/19 15:01,33041.7,28170.6,8.73,40612.2,25.9565,,,,
36,3/4/19 15:11,33041.7,28178.9,8.73,40624.1,25.965,,,,
37,3/4/19 15:21,33041.7,28201.2,8.73,40656,25.9876,,,,
38,3/4/19 15:31,33041.7,28170.6,8.73,40612.2,25.9565,,,,
39,3/4/19 15:41,33041.7,28187.3,8.73,40636.1,25.9735,,,,
40,3/4/19 15:51,33041.7,28204,8.73,40660,25.9904,,,,
41,3/4/19 16:01,33041.7,28204,8.73,40660,25.9904,,,,
42,3/4/19 16:11,33041.7,28204,8.72,40670.3,25.9977,,,,
43,3/4/19 16:21,33041.7,28195.6,8.73,40648,25.9819,,,,
44,3/4/19 16:31,33041.7,28209.6,8.73,40668,25.9961,,,,
45,3/4/19 16:41,33041.7,28195.6,8.72,40658.3,25.9892,,,,
46,3/4/19 16:51,33041.7,28173.4,8.71,40636.8,25.974,,,,
