Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,12/3/18 13:01,33041.7,30376.9,10.75,42530.5,Logged,,,,
2,12/3/18 13:11,33041.7,30351.7,10.76,42484,,,,,
3,12/3/18 13:21,33041.7,30358,10.78,42470.3,,,,,
4,12/3/18 13:31,33041.7,30358,10.78,42470.3,,,,,
5,12/3/18 13:41,33041.7,30351.7,10.8,42439.1,,,,,
6,12/3/18 13:51,33041.7,30329.7,10.81,42397.1,,,,,
7,12/3/18 14:01,33041.7,30367.4,10.82,42438.5,,,,,
8,12/3/18 14:11,33041.7,30367.4,10.82,42438.5,,,,,
9,12/3/18 14:21,33041.7,30364.3,10.83,42423,,,,,
10,12/3/18 14:31,33041.7,30367.4,10.84,42416.1,,,,,
11,12/3/18 14:41,33041.7,30383.2,10.84,42438.2,,,,,
12,12/3/18 14:51,33041.7,30383.2,10.84,42438.2,,,,,
13,12/3/18 15:01,33041.7,30402.1,10.85,42453.3,,,,,
14,12/3/18 15:11,33041.7,30411.6,10.85,42466.6,,,,,
15,12/3/18 15:21,33041.7,30402.1,10.86,42442.1,,,,,
16,12/3/18 15:31,33041.7,30411.6,10.86,42455.4,,,,,
17,12/3/18 15:41,33041.7,30402.1,10.86,42442.1,,,,,
18,12/3/18 15:51,33041.7,30392.7,10.86,42429,,,,,
19,12/3/18 16:01,33041.7,30430.5,10.88,42459.3,,,,,
20,12/3/18 16:11,33041.7,30414.7,10.88,42437.3,,,,,
21,12/3/18 16:21,33041.7,30417.9,10.88,42441.7,,,,,
22,12/3/18 16:31,33041.7,30392.7,10.86,42429,,,,,
23,12/3/18 16:41,33041.7,30405.3,10.86,42446.6,,,,,
24,12/3/18 16:51,33041.7,30421.1,10.86,42468.7,,,,,
25,12/3/18 17:01,33041.7,30430.5,10.86,42481.8,,,,,
26,12/3/18 17:11,33041.7,30402.1,10.85,42453.3,,,,,
27,12/3/18 17:21,33041.7,30392.7,10.86,42429,,,,,
28,12/3/18 17:31,33041.7,30421.1,10.86,42468.7,,,,,
29,12/3/18 17:41,33041.7,30402.1,10.85,42453.3,,,,,
30,12/3/18 17:51,33041.7,30402.1,10.84,42464.6,,,,,
31,12/3/18 18:01,33041.7,30367.4,10.84,42416.1,,,,,
32,12/3/18 18:11,33041.7,30402.1,10.84,42464.6,,,,,
33,12/3/18 18:21,33041.7,30383.2,10.83,42449.4,,,,,
34,12/3/18 18:31,33041.7,30376.9,10.83,42440.6,,,,,
35,12/3/18 18:41,33041.7,30395.8,10.82,42478.2,,,,,
36,12/3/18 18:51,33041.7,30332.8,10.82,42390.2,,,,,
37,12/3/18 19:01,33041.7,30386.4,10.8,42487.6,,,,,
38,12/3/18 19:11,33041.7,30358,10.8,42447.9,,,,,
39,12/3/18 19:21,33041.7,30358,10.77,42481.6,,,,,
40,12/3/18 19:31,33041.7,30370.6,10.77,42499.2,,,,,
41,12/3/18 19:41,33041.7,30361.1,10.77,42485.9,,,,,
42,12/3/18 19:51,33041.7,30342.3,10.76,42470.8,,,,,
43,12/3/18 20:01,33041.7,30370.6,10.75,42521.7,,,,,
44,12/3/18 20:11,33041.7,30386.4,10.74,42555.1,,,,,
45,12/3/18 20:21,33041.7,30336,10.74,42484.5,,,,,
46,12/3/18 20:31,33041.7,30370.6,10.73,42544.3,,,,,
47,12/3/18 20:41,33041.7,30336,10.73,42495.8,,,,,
48,12/3/18 20:51,33041.7,30351.7,10.73,42517.8,,,,,
49,12/3/18 21:01,33041.7,30336,10.73,42495.8,,,,,
50,12/3/18 21:11,33041.7,30336,10.72,42507,,,,,
51,12/3/18 21:21,33041.7,30326.5,10.73,42482.5,,,,,
