Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,5/7/19 11:21,33041.7,28590,10.14,39781.3,25.3674,Logged,,,
2,5/7/19 11:31,33041.7,28610,10.15,39799.1,25.3799,,,,
3,5/7/19 11:41,33041.7,28604.3,10.18,39761.6,25.3534,,,,
4,5/7/19 11:51,33041.7,28604.3,10.19,39751.8,25.3465,,,,
5,5/7/19 12:01,33041.7,28612.8,10.19,39763.5,25.3548,,,,
6,5/7/19 12:11,33041.7,28601.4,10.21,39728.1,25.3297,,,,
7,5/7/19 12:21,33041.7,28627.1,10.22,39753.7,25.3478,,,,
8,5/7/19 12:31,33041.7,28615.7,10.25,39708.5,25.3158,,,,
9,5/7/19 12:41,33041.7,28624.3,10.27,39700.7,25.3103,,,,
10,5/7/19 12:51,33041.7,28641.4,10.29,39704.6,25.3131,,,,
11,5/7/19 13:01,33041.7,28638.5,10.31,39681,25.2964,,,,
12,5/7/19 13:11,33041.7,28638.5,10.35,39641.8,25.2686,,,,
13,5/7/19 13:21,33041.7,28647.1,10.36,39643.8,25.2701,,,,
14,5/7/19 13:31,33041.7,28638.5,10.39,39602.7,25.2409,,,,
15,5/7/19 13:41,33041.7,28661.4,10.41,39614.6,25.2493,,,,
16,5/7/19 13:51,33041.7,28661.4,10.41,39614.6,25.2493,,,,
17,5/7/19 14:01,33041.7,28652.8,10.42,39593,25.2341,,,,
18,5/7/19 14:11,33041.7,28675.7,10.42,39624.4,25.2563,,,,
19,5/7/19 14:21,33041.7,28684.3,10.42,39636.2,25.2646,,,,
20,5/7/19 14:31,33041.7,28647.1,10.43,39575.4,25.2216,,,,
21,5/7/19 14:41,33041.7,28701.5,10.44,39640.2,25.2675,,,,
22,5/7/19 14:51,33041.7,28721.6,10.44,39667.8,25.287,,,,
23,5/7/19 15:01,33041.7,28692.9,10.44,39628.4,25.2592,,,,
24,5/7/19 15:11,33041.7,28684.3,10.45,39606.9,25.2439,,,,
25,5/7/19 15:21,33041.7,28698.7,10.45,39626.6,25.2579,,,,
26,5/7/19 15:31,33041.7,28698.7,10.45,39626.6,25.2579,,,,
27,5/7/19 15:41,33041.7,28684.3,10.45,39606.9,25.2439,,,,
28,5/7/19 15:51,33041.7,28698.7,10.44,39636.4,25.2648,,,,
29,5/7/19 16:01,33041.7,28690.1,10.43,39634.4,25.2634,,,,
30,5/7/19 16:11,33041.7,28698.7,10.42,39655.9,25.2786,,,,
31,5/7/19 16:21,33041.7,28692.9,10.41,39657.8,25.2799,,,,
32,5/7/19 16:31,33041.7,28690.1,10.41,39653.9,25.2772,,,,
