Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374),End Of File (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,3/11/19 7:21,33041.7,28087.4,8.37,Logged,,,,,
2,3/11/19 7:31,33041.7,28068.1,8.36,,,,,,
3,3/11/19 7:41,33041.7,28073.6,8.37,,,,,,
4,3/11/19 7:51,33041.7,28090.2,8.37,,,,,,
5,3/11/19 8:01,33041.7,28087.4,8.37,,,,,,
6,3/11/19 8:11,33041.7,28087.4,8.37,,,,,,
7,3/11/19 8:21,33041.7,28073.6,8.37,,,,,,
8,3/11/19 8:31,33041.7,28070.8,8.37,,,,,,
9,3/11/19 8:41,33041.7,28070.8,8.39,,,,,,
10,3/11/19 8:51,33041.7,28087.4,8.39,,,,,,
11,3/11/19 9:01,33041.7,28065.3,8.4,,,,,,
12,3/11/19 9:11,33041.7,28117.9,8.41,,,,,,
13,3/11/19 9:21,33041.7,28092.9,8.41,,,,,,
14,3/11/19 9:31,33041.7,28115.1,8.43,,,,,,
15,3/11/19 9:41,33041.7,28098.5,8.43,,,,,,
16,3/11/19 9:51,33041.7,28109.6,8.44,,,,,,
17,3/11/19 10:01,33041.7,28120.6,8.45,,,,,,
18,3/11/19 10:11,33041.7,28115.1,8.45,,,,,,
19,3/11/19 10:21,33041.7,28137.3,8.47,,,,,,
20,3/11/19 10:31,33041.7,28151.2,8.47,,,,,,
21,3/11/19 10:41,33041.7,28173.4,8.49,,,,,,
22,3/11/19 10:51,33041.7,28181.7,8.49,,,,,,
23,3/11/19 11:01,33041.7,28173.4,8.49,,,,,,
24,3/11/19 11:11,33041.7,28159.5,8.51,,,,,,
25,3/11/19 11:21,33041.7,28148.4,8.5,,,,,,
26,3/11/19 11:31,33041.7,28142.8,8.5,,,,,,
27,3/11/19 11:41,33041.7,28167.8,8.5,,,,,,
28,3/11/19 11:51,33041.7,28159.5,8.5,,,,,,
29,3/11/19 12:01,33041.7,28156.7,8.5,,,,,,
30,3/11/19 12:11,33041.7,28167.8,8.51,,,,,,
31,3/11/19 12:21,33041.7,28156.7,8.51,,,,,,
32,3/11/19 12:31,33041.7,28165,8.51,,,,,,
33,3/11/19 12:41,33041.7,28165,8.52,,,,,,
34,3/11/19 12:51,33041.7,28187.3,8.52,,,,,,
35,3/11/19 13:01,33041.7,28187.3,8.53,,,,,,
36,3/11/19 13:11,33041.7,28173.4,8.53,,,,,,
37,3/11/19 13:21,33041.7,28151.2,8.55,,,,,,
38,3/11/19 13:31,33041.7,28173.4,8.56,,,,,,
39,3/11/19 13:41,33041.7,28156.7,8.56,,,,,,
40,3/11/19 13:51,33041.7,28134.5,8.56,,,,,,
41,3/11/19 14:01,33041.7,28151.2,8.56,,,,,,
42,3/11/19 14:11,33041.7,28129,8.56,,,,,,
43,3/11/19 14:21,33041.7,28129,8.57,,,,,,
44,3/11/19 14:31,33041.7,28090.2,8.58,,,,,,
45,3/11/19 14:41,33041.7,28092.9,8.59,,,,,,
46,3/11/19 14:51,33041.7,28059.8,8.59,,,,,,
47,3/11/19 15:01,33041.7,28073.6,8.6,,,,,,
48,3/11/19 15:11,33041.7,28076.4,8.62,,,,,,
49,3/11/19 15:21,33041.7,28059.8,8.63,,,,,,
50,3/11/19 15:31,33041.7,28076.4,8.64,,,,,,
51,3/11/19 15:41,33041.7,28084.6,8.63,,,,,,
52,3/11/19 15:51,33041.7,28076.4,8.64,,,,,,
53,3/11/19 16:01,33041.7,28092.9,8.64,,,,,,
54,3/11/19 16:11,33041.7,28076.4,8.64,,,,,,
55,3/11/19 16:21,33041.7,28081.9,8.63,,,,,,
56,3/11/19 16:31,33041.7,28076.4,8.63,,,,,,
57,3/11/19 16:41,33041.7,28098.5,8.62,,,,,,
58,3/11/19 16:51,33041.7,28084.6,8.62,,,,,,
59,3/11/19 17:01,33041.7,28076.4,8.6,,,,,,
60,3/11/19 17:11,33041.7,28106.8,8.6,,,,,,
61,3/11/19 17:21,33041.7,28090.2,8.59,,,,,,
62,3/11/19 17:31,33041.7,28098.5,8.58,,,,,,
63,3/11/19 17:41,33041.7,28106.8,8.57,,,,,,
64,3/11/19 17:51,33041.7,28106.8,8.57,,,,,,
65,3/11/19 18:01,33041.7,28084.6,8.56,,,,,,
66,3/11/19 18:11,33041.7,28098.5,8.56,,,,,,
67,3/11/19 18:21,33041.7,28142.8,8.56,,,,,,
68,3/11/19 18:31,33041.7,28134.5,8.55,,,,,,
69,3/11/19 18:41,33041.7,28117.9,8.56,,,,,,
70,3/11/19 18:51,33041.7,28148.4,8.56,,,,,,
71,3/11/19 19:01,33041.7,28120.6,8.56,,,,,,
72,3/11/19 19:11,33041.7,28165,8.55,,,,,,
73,3/11/19 19:21,33041.7,28156.7,8.56,,,,,,
74,3/11/19 19:31,33041.7,28148.4,8.56,,,,,,
75,3/11/19 19:41,33041.7,28165,8.55,,,,,,
76,3/11/19 19:51,33041.7,28167.8,8.56,,,,,,
77,3/11/19 20:01,33041.7,28178.9,8.56,,,,,,
78,3/11/19 20:11,33041.7,28165,8.56,,,,,,
