Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,4/16/19 9:11,33041.7,28290.6,9.44,40060.7,25.5652,Logged,,,
2,4/16/19 9:21,33041.7,28265.4,9.44,40025.3,25.5402,,,,
3,4/16/19 9:31,33041.7,28248.6,9.45,39991.7,25.5163,,,,
4,4/16/19 9:41,33041.7,28271,9.46,40013.1,25.5315,,,,
5,4/16/19 9:51,33041.7,28265.4,9.48,39985.2,25.5118,,,,
6,4/16/19 10:01,33041.7,28240.2,9.5,39929.9,25.4725,,,,
7,4/16/19 10:11,33041.7,28279.4,9.51,39974.8,25.5044,,,,
8,4/16/19 10:21,33041.7,28257,9.52,39933.4,25.4751,,,,
9,4/16/19 10:31,33041.7,28271,9.54,39933,25.4748,,,,
10,4/16/19 10:41,33041.7,28279.4,9.53,39954.8,25.4902,,,,
11,4/16/19 10:51,33041.7,28271,9.54,39933,25.4748,,,,
12,4/16/19 11:01,33041.7,28287.8,9.54,39956.6,25.4915,,,,
13,4/16/19 11:11,33041.7,28279.4,9.56,39924.8,25.469,,,,
14,4/16/19 11:21,33041.7,28293.4,9.56,39944.4,25.4829,,,,
15,4/16/19 11:31,33041.7,28321.4,9.54,40003.7,25.5248,,,,
16,4/16/19 11:41,33041.7,28329.8,9.54,40015.4,25.5332,,,,
17,4/16/19 11:51,33041.7,28321.4,9.54,40003.7,25.5248,,,,
18,4/16/19 12:01,33041.7,28346.7,9.54,40039.1,25.5499,,,,
19,4/16/19 12:11,33041.7,28343.9,9.56,40015.2,25.533,,,,
20,4/16/19 12:21,33041.7,28366.3,9.56,40046.5,25.5552,,,,
21,4/16/19 12:31,33041.7,28360.7,9.56,40038.7,25.5497,,,,
22,4/16/19 12:41,33041.7,28374.8,9.57,40048.4,25.5565,,,,
23,4/16/19 12:51,33041.7,28391.7,9.57,40072.1,25.5733,,,,
24,4/16/19 13:01,33041.7,28372,9.57,40044.5,25.5538,,,,
25,4/16/19 13:11,33041.7,28411.4,9.58,40089.6,25.5858,,,,
26,4/16/19 13:21,33041.7,28391.7,9.58,40062,25.5662,,,,
27,4/16/19 13:31,33041.7,28388.9,9.58,40058.1,25.5634,,,,
28,4/16/19 13:41,33041.7,28405.8,9.58,40081.8,25.5802,,,,
29,4/16/19 13:51,33041.7,28405.8,9.58,40081.8,25.5802,,,,
30,4/16/19 14:01,33041.7,28419.9,9.58,40101.5,25.5942,,,,
31,4/16/19 14:11,33041.7,28417,9.59,40087.4,25.5842,,,,
32,4/16/19 14:21,33041.7,28402.9,9.59,40067.7,25.5702,,,,
33,4/16/19 14:31,33041.7,28434,9.59,40111.2,25.6011,,,,
34,4/16/19 14:41,33041.7,28434,9.59,40111.2,25.6011,,,,
35,4/16/19 14:51,33041.7,28425.5,9.59,40099.3,25.5926,,,,
36,4/16/19 15:01,33041.7,28450.9,9.58,40144.9,25.6249,,,,
37,4/16/19 15:11,33041.7,28448.1,9.58,40141,25.6222,,,,
38,4/16/19 15:21,33041.7,28434,9.58,40121.2,25.6082,,,,
39,4/16/19 15:31,33041.7,28425.5,9.58,40109.3,25.5997,,,,
40,4/16/19 15:41,33041.7,28450.9,9.57,40154.9,25.6321,,,,
41,4/16/19 15:51,33041.7,28434,9.57,40131.3,25.6153,,,,
42,4/16/19 16:01,33041.7,28434,9.56,40141.3,25.6224,,,,
43,4/16/19 16:11,33041.7,28434,9.54,40161.4,25.6366,,,,
44,4/16/19 16:21,33041.7,28442.5,9.53,40183.3,25.6522,,,,
45,4/16/19 16:31,33041.7,28428.3,9.52,40173.5,25.6452,,,,
46,4/16/19 16:41,33041.7,28450.9,9.51,40215.2,25.6748,,,,
47,4/16/19 16:51,33041.7,28405.8,9.5,40162.1,25.6371,,,,
48,4/16/19 17:01,33041.7,28402.9,9.49,40168,25.6414,,,,
49,4/16/19 17:11,33041.7,28428.3,9.48,40213.7,25.6737,,,,
50,4/16/19 17:21,33041.7,28419.9,9.46,40222.1,25.6797,,,,
51,4/16/19 17:31,33041.7,28405.8,9.45,40212.4,25.6728,,,,
52,4/16/19 17:41,33041.7,28436.8,9.44,40266,25.7108,,,,
53,4/16/19 17:51,33041.7,28405.8,9.43,40232.5,25.6871,,,,
54,4/16/19 18:01,33041.7,28408.6,9.43,40236.5,25.6899,,,,
55,4/16/19 18:11,33041.7,28369.2,9.43,40181.1,25.6506,,,,
56,4/16/19 18:21,33041.7,28374.8,9.45,40168.8,25.6419,,,,
57,4/16/19 18:31,33041.7,28352.3,9.44,40147.3,25.6267,,,,
58,4/16/19 18:41,33041.7,28338.2,9.44,40127.5,25.6126,,,,
59,4/16/19 18:51,33041.7,28369.2,9.45,40161,25.6363,,,,
60,4/16/19 19:01,33041.7,28346.7,9.45,40129.4,25.614,,,,
61,4/16/19 19:11,33041.7,28329.8,9.45,40105.7,25.5971,,,,
62,4/16/19 19:21,33041.7,28329.8,9.44,40115.7,25.6043,,,,
63,4/16/19 19:31,33041.7,28329.8,9.43,40125.8,25.6114,,,,
64,4/16/19 19:41,33041.7,28329.8,9.42,40135.8,25.6185,,,,
65,4/16/19 19:51,33041.7,28346.7,9.42,40159.6,25.6353,,,,
66,4/16/19 20:01,33041.7,28338.2,9.41,40157.7,25.634,,,,
67,4/16/19 20:11,33041.7,28310.2,9.41,40118.3,25.6061,,,,
68,4/16/19 20:21,33041.7,28329.8,9.41,40145.9,25.6256,,,,
69,4/16/19 20:31,33041.7,28324.2,9.42,40128,25.6129,,,,
70,4/16/19 20:41,33041.7,28279.4,9.42,40065,25.5683,,,,
71,4/16/19 20:51,33041.7,28271,9.44,40033.1,25.5457,,,,
72,4/16/19 21:01,33041.7,28287.8,9.44,40056.7,25.5625,,,,
73,4/16/19 21:11,33041.7,28240.2,9.46,39969.9,25.5009,,,,
74,4/16/19 21:21,33041.7,28243,9.46,39973.8,25.5037,,,,
75,4/16/19 21:31,33041.7,28243,9.48,39953.8,25.4895,,,,
76,4/16/19 21:41,33041.7,28234.7,9.48,39942.1,25.4812,,,,
77,4/16/19 21:51,33041.7,28237.5,9.49,39936.1,25.4769,,,,
78,4/16/19 22:01,33041.7,28212.4,9.49,39900.9,25.452,,,,
79,4/16/19 22:11,33041.7,28212.4,9.49,39900.9,25.452,,,,
80,4/16/19 22:21,33041.7,28198.4,9.49,39881.2,25.4381,,,,
81,4/16/19 22:31,33041.7,28184.5,9.51,39841.8,25.4102,,,,
82,4/16/19 22:41,33041.7,28173.4,9.51,39826.2,25.3991,,,,
83,4/16/19 22:51,33041.7,28190.1,9.5,39859.6,25.4228,,,,
84,4/16/19 23:01,33041.7,28195.6,9.5,39867.3,25.4283,,,,
85,4/16/19 23:11,33041.7,28173.4,9.49,39846.2,25.4133,,,,
86,4/16/19 23:21,33041.7,28204,9.48,39899.1,25.4507,,,,
87,4/16/19 23:31,33041.7,28229.1,9.48,39934.3,25.4757,,,,
88,4/16/19 23:41,33041.7,28248.6,9.45,39991.7,25.5163,,,,
89,4/16/19 23:51,33041.7,28243,9.45,39983.8,25.5108,,,,
90,4/17/19 0:01,33041.7,28248.6,9.44,40001.7,25.5234,,,,
91,4/17/19 0:11,33041.7,28234.7,9.44,39982.2,25.5096,,,,
92,4/17/19 0:21,33041.7,28279.4,9.44,40044.9,25.5541,,,,
93,4/17/19 0:31,33041.7,28265.4,9.43,40035.3,25.5473,,,,
94,4/17/19 0:41,33041.7,28265.4,9.44,40025.3,25.5402,,,,
95,4/17/19 0:51,33041.7,28265.4,9.42,40045.3,25.5544,,,,
96,4/17/19 1:01,33041.7,28257,9.42,40033.5,25.546,,,,
97,4/17/19 1:11,33041.7,28265.4,9.41,40055.4,25.5615,,,,
98,4/17/19 1:21,33041.7,28257,9.41,40043.6,25.5531,,,,
99,4/17/19 1:31,33041.7,28279.4,9.41,40075.1,25.5754,,,,
100,4/17/19 1:41,33041.7,28282.2,9.41,40079,25.5782,,,,
101,4/17/19 1:51,33041.7,28265.4,9.42,40045.3,25.5544,,,,
102,4/17/19 2:01,33041.7,28259.8,9.42,40037.5,25.5488,,,,
103,4/17/19 2:11,33041.7,28257,9.42,40033.5,25.546,,,,
104,4/17/19 2:21,33041.7,28265.4,9.41,40055.4,25.5615,,,,
105,4/17/19 2:31,33041.7,28248.6,9.4,40041.8,25.5519,,,,
106,4/17/19 2:41,33041.7,28257,9.4,40053.6,25.5602,,,,
107,4/17/19 2:51,33041.7,28268.2,9.4,40069.4,25.5714,,,,
108,4/17/19 3:01,33041.7,28282.2,9.38,40109.2,25.5996,,,,
109,4/17/19 3:11,33041.7,28251.4,9.4,40045.8,25.5547,,,,
110,4/17/19 3:21,33041.7,28243,9.4,40033.9,25.5463,,,,
111,4/17/19 3:31,33041.7,28248.6,9.41,40031.8,25.5448,,,,
112,4/17/19 3:41,33041.7,28257,9.41,40043.6,25.5531,,,,
113,4/17/19 3:51,33041.7,28234.7,9.42,40002.2,25.5238,,,,
114,4/17/19 4:01,33041.7,28226.3,9.42,39990.4,25.5155,,,,
115,4/17/19 4:11,33041.7,28226.3,9.42,39990.4,25.5155,,,,
116,4/17/19 4:21,33041.7,28212.4,9.42,39970.9,25.5016,,,,
117,4/17/19 4:31,33041.7,28217.9,9.44,39958.6,25.4929,,,,
118,4/17/19 4:41,33041.7,28204,9.45,39929.1,25.472,,,,
119,4/17/19 4:51,33041.7,28220.7,9.45,39952.5,25.4886,,,,
120,4/17/19 5:01,33041.7,28198.4,9.45,39921.2,25.4664,,,,
121,4/17/19 5:11,33041.7,28204,9.45,39929.1,25.472,,,,
122,4/17/19 5:21,33041.7,28176.2,9.45,39890,25.4443,,,,
123,4/17/19 5:31,33041.7,28198.4,9.45,39921.2,25.4664,,,,
124,4/17/19 5:41,33041.7,28181.7,9.46,39887.8,25.4427,,,,
125,4/17/19 5:51,33041.7,28190.1,9.46,39899.5,25.4511,,,,
126,4/17/19 6:01,33041.7,28190.1,9.46,39899.5,25.4511,,,,
127,4/17/19 6:11,33041.7,28190.1,9.46,39899.5,25.4511,,,,
128,4/17/19 6:21,33041.7,28162.3,9.48,39840.6,25.4093,,,,
129,4/17/19 6:31,33041.7,28162.3,9.46,39860.5,25.4234,,,,
130,4/17/19 6:41,33041.7,28176.2,9.45,39890,25.4443,,,,
131,4/17/19 6:51,33041.7,28167.8,9.44,39888.2,25.4431,,,,
132,4/17/19 7:01,33041.7,28181.7,9.43,39917.7,25.464,,,,
133,4/17/19 7:11,33041.7,28176.2,9.44,39900,25.4514,,,,
134,4/17/19 7:21,33041.7,28176.2,9.43,39910,25.4585,,,,
135,4/17/19 7:31,33041.7,28167.8,9.44,39888.2,25.4431,,,,
136,4/17/19 7:41,33041.7,28145.6,9.44,39857,25.421,,,,
137,4/17/19 7:51,33041.7,28145.6,9.45,39847.1,25.4139,,,,
138,4/17/19 8:01,33041.7,28140.1,9.44,39849.3,25.4155,,,,
139,4/17/19 8:11,33041.7,28176.2,9.45,39890,25.4443,,,,
140,4/17/19 8:21,33041.7,28167.8,9.45,39878.2,25.436,,,,
141,4/17/19 8:31,33041.7,28190.1,9.46,39899.5,25.4511,,,,
142,4/17/19 8:41,33041.7,28215.1,9.48,39914.6,25.4618,,,,
143,4/17/19 8:51,33041.7,28204,9.49,39889.1,25.4437,,,,
144,4/17/19 9:01,33041.7,28162.3,9.51,39810.6,25.3881,,,,
145,4/17/19 9:11,33041.7,28137.3,9.54,39745.7,25.3422,,,,
146,4/17/19 9:21,33041.7,28129,9.57,39704.3,25.3129,,,,
147,4/17/19 9:31,33041.7,28084.6,9.6,39612.4,25.2478,,,,
148,4/17/19 9:41,33041.7,28070.8,9.64,39553.6,25.2062,,,,
149,4/17/19 9:51,33041.7,28034.9,9.66,39483.7,25.1567,,,,
150,4/17/19 10:01,33041.7,28032.2,9.68,39460.2,25.1401,,,,
151,4/17/19 10:11,33041.7,28026.7,9.71,39423,25.1138,,,,
152,4/17/19 10:21,33041.7,28021.2,9.71,39415.3,25.1084,,,,
153,4/17/19 10:31,33041.7,28034.9,9.73,39414.7,25.108,,,,
