Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,2/19/19 10:11,33041.7,28192.9,8.76,40613.2,25.9572,Logged,,,
2,2/19/19 10:21,33041.7,28153.9,8.72,40598.7,25.9469,,,,
3,2/19/19 10:31,33041.7,28112.3,8.71,40549.5,25.912,,,,
4,2/19/19 10:41,33041.7,28123.4,8.71,40565.3,25.9232,,,,
5,2/19/19 10:51,33041.7,28140.1,8.71,40589.2,25.9402,,,,
6,2/19/19 11:01,33041.7,28117.9,8.7,40567.8,25.925,,,,
7,2/19/19 11:11,33041.7,28140.1,8.71,40589.2,25.9402,,,,
8,2/19/19 11:21,33041.7,28140.1,8.71,40589.2,25.9402,,,,
9,2/19/19 11:31,33041.7,28165,8.72,40614.5,25.9582,,,,
10,2/19/19 11:41,33041.7,28162.3,8.73,40600.4,25.9481,,,,
11,2/19/19 11:51,33041.7,28148.4,8.73,40580.5,25.934,,,,
12,2/19/19 12:01,33041.7,28223.5,8.75,40667.2,25.9956,,,,
13,2/19/19 12:11,33041.7,28198.4,8.75,40631.4,25.9701,,,,
14,2/19/19 12:21,33041.7,28184.5,8.76,40601.2,25.9487,,,,
15,2/19/19 12:31,33041.7,28198.4,8.76,40621.1,25.9628,,,,
16,2/19/19 12:41,33041.7,28192.9,8.78,40592.7,25.9426,,,,
17,2/19/19 12:51,33041.7,28192.9,8.79,40582.4,25.9353,,,,
18,2/19/19 13:01,33041.7,28229.1,8.79,40634,25.972,,,,
19,2/19/19 13:11,33041.7,28198.4,8.79,40590.2,25.9409,,,,
20,2/19/19 13:21,33041.7,28192.9,8.79,40582.4,25.9353,,,,
21,2/19/19 13:31,33041.7,28184.5,8.79,40570.4,25.9268,,,,
22,2/19/19 13:41,33041.7,28201.2,8.79,40594.2,25.9437,,,,
23,2/19/19 13:51,33041.7,28198.4,8.78,40600.5,25.9482,,,,
24,2/19/19 14:01,33041.7,28176.2,8.76,40589.4,25.9403,,,,
25,2/19/19 14:11,33041.7,28170.6,8.78,40560.8,25.92,,,,
26,2/19/19 14:21,33041.7,28153.9,8.75,40567.8,25.925,,,,
27,2/19/19 14:31,33041.7,28095.7,8.74,40494.9,25.8733,,,,
28,2/19/19 14:41,33041.7,28095.7,8.73,40505.2,25.8805,,,,
29,2/19/19 14:51,33041.7,28073.6,8.71,40494.1,25.8727,,,,
30,2/19/19 15:01,33041.7,28048.7,8.71,40458.5,25.8474,,,,
31,2/19/19 15:11,33041.7,28068.1,8.71,40486.3,25.8671,,,,
32,2/19/19 15:21,33041.7,28059.8,8.7,40484.7,25.866,,,,
33,2/19/19 15:31,33041.7,28098.5,8.7,40540,25.9053,,,,
34,2/19/19 15:41,33041.7,28059.8,8.7,40484.7,25.866,,,,
35,2/19/19 15:51,33041.7,28073.6,8.7,40504.4,25.88,,,,
36,2/19/19 16:01,33041.7,28068.1,8.7,40496.5,25.8744,,,,
37,2/19/19 16:11,33041.7,28084.6,8.7,40520.1,25.8911,,,,
38,2/19/19 16:21,33041.7,28051.5,8.68,40493.3,25.8721,,,,
39,2/19/19 16:31,33041.7,28073.6,8.7,40504.4,25.88,,,,
40,2/19/19 16:41,33041.7,28076.4,8.68,40529,25.8974,,,,
41,2/19/19 16:51,33041.7,28090.2,8.67,40559,25.9187,,,,
42,2/19/19 17:01,33041.7,28095.7,8.68,40556.6,25.917,,,,
43,2/19/19 17:11,33041.7,28104,8.68,40568.4,25.9254,,,,
44,2/19/19 17:21,33041.7,28095.7,8.68,40556.6,25.917,,,,
45,2/19/19 17:31,33041.7,28126.2,8.68,40600.2,25.948,,,,
46,2/19/19 17:41,33041.7,28148.4,8.71,40601.1,25.9486,,,,
47,2/19/19 17:51,33041.7,28148.4,8.73,40580.5,25.934,,,,
48,2/19/19 18:01,33041.7,28159.5,8.75,40575.8,25.9307,,,,
49,2/19/19 18:11,33041.7,28212.4,8.79,40610.2,25.9551,,,,
50,2/19/19 18:21,33041.7,28229.1,8.81,40613.5,25.9574,,,,
51,2/19/19 18:31,33041.7,28273.8,8.83,40656.6,25.9881,,,,
52,2/19/19 18:41,33041.7,28273.8,8.86,40625.8,25.9662,,,,
53,2/19/19 18:51,33041.7,28287.8,8.87,40635.5,25.973,,,,
54,2/19/19 19:01,33041.7,28315.8,8.89,40654.8,25.9868,,,,
55,2/19/19 19:11,33041.7,28315.8,8.9,40644.5,25.9795,,,,
56,2/19/19 19:21,33041.7,28346.7,8.91,40678.2,26.0034,,,,
57,2/19/19 19:31,33041.7,28386,8.93,40713.6,26.0285,,,,
58,2/19/19 19:41,33041.7,28355.1,8.93,40669.6,25.9973,,,,
59,2/19/19 19:51,33041.7,28360.7,8.94,40667.3,25.9957,,,,
60,2/19/19 20:01,33041.7,28369.2,8.93,40689.7,26.0115,,,,
61,2/19/19 20:11,33041.7,28366.3,8.93,40685.5,26.0086,,,,
62,2/19/19 20:21,33041.7,28391.7,8.94,40711.4,26.027,,,,
63,2/19/19 20:31,33041.7,28383.2,8.93,40709.6,26.0257,,,,
64,2/19/19 20:41,33041.7,28386,8.91,40734.1,26.0431,,,,
65,2/19/19 20:51,33041.7,28360.7,8.91,40698.1,26.0175,,,,
66,2/19/19 21:01,33041.7,28346.7,8.9,40688.5,26.0107,,,,
67,2/19/19 21:11,33041.7,28338.2,8.89,40686.7,26.0094,,,,
68,2/19/19 21:21,33041.7,28346.7,8.89,40698.8,26.018,,,,
69,2/19/19 21:31,33041.7,28341,8.88,40700.9,26.0195,,,,
70,2/19/19 21:41,33041.7,28346.7,8.88,40709.1,26.0253,,,,
71,2/19/19 21:51,33041.7,28332.6,8.88,40689,26.0111,,,,
72,2/19/19 22:01,33041.7,28338.2,8.87,40707.2,26.024,,,,
73,2/19/19 22:11,33041.7,28324.2,8.87,40687.3,26.0099,,,,
74,2/19/19 22:21,33041.7,28307.4,8.87,40663.4,25.9929,,,,
75,2/19/19 22:31,33041.7,28324.2,8.86,40697.6,26.0172,,,,
76,2/19/19 22:41,33041.7,28279.4,8.83,40664.6,25.9937,,,,
77,2/19/19 22:51,33041.7,28220.7,8.81,40601.5,25.9489,,,,
78,2/19/19 23:01,33041.7,28176.2,8.76,40589.4,25.9403,,,,
79,2/19/19 23:11,33041.7,28073.6,8.71,40494.1,25.8727,,,,
80,2/19/19 23:21,33041.7,28015.7,8.66,40462.6,25.8503,,,,
81,2/19/19 23:31,33041.7,27966.2,8.63,40422.5,25.8219,,,,
82,2/19/19 23:41,33041.7,27936,8.59,40420.3,25.8203,,,,
83,2/19/19 23:51,33041.7,27894.9,8.57,40381.9,25.793,,,,
84,2/20/19 0:01,33041.7,27856.7,8.55,40347.6,25.7687,,,,
85,2/20/19 0:11,33041.7,27851.2,8.55,40339.7,25.7631,,,,
86,2/20/19 0:21,33041.7,27807.7,8.51,40318.2,25.7478,,,,
87,2/20/19 0:31,33041.7,27837.6,8.51,40361.2,25.7783,,,,
88,2/20/19 0:41,33041.7,27807.7,8.5,40328.5,25.7551,,,,
89,2/20/19 0:51,33041.7,27785.9,8.5,40297.1,25.7329,,,,
90,2/20/19 1:01,33041.7,27815.8,8.51,40329.8,25.7561,,,,
91,2/20/19 1:11,33041.7,27780.5,8.5,40289.4,25.7274,,,,
92,2/20/19 1:21,33041.7,27777.8,8.5,40285.5,25.7246,,,,
93,2/20/19 1:31,33041.7,27802.2,8.5,40320.6,25.7495,,,,
94,2/20/19 1:41,33041.7,27799.5,8.51,40306.4,25.7395,,,,
95,2/20/19 1:51,33041.7,27824,8.52,40331.4,25.7572,,,,
96,2/20/19 2:01,33041.7,27851.2,8.53,40360.2,25.7776,,,,
97,2/20/19 2:11,33041.7,27881.3,8.55,40382.9,25.7937,,,,
98,2/20/19 2:21,33041.7,27873.1,8.55,40371.1,25.7854,,,,
99,2/20/19 2:31,33041.7,27886.7,8.55,40390.6,25.7992,,,,
100,2/20/19 2:41,33041.7,27894.9,8.56,40392.1,25.8003,,,,
101,2/20/19 2:51,33041.7,27908.6,8.57,40401.5,25.807,,,,
102,2/20/19 3:01,33041.7,27944.2,8.57,40452.6,25.8432,,,,
103,2/20/19 3:11,33041.7,27949.7,8.6,40429.7,25.8269,,,,
104,2/20/19 3:21,33041.7,27996.4,8.62,40476.1,25.8599,,,,
105,2/20/19 3:31,33041.7,28048.7,8.63,40540.7,25.9058,,,,
106,2/20/19 3:41,33041.7,28037.7,8.64,40514.7,25.8873,,,,
107,2/20/19 3:51,33041.7,28076.4,8.64,40570.1,25.9266,,,,
108,2/20/19 4:01,33041.7,28092.9,8.65,40583.4,25.9361,,,,
109,2/20/19 4:11,33041.7,28073.6,8.65,40555.8,25.9165,,,,
110,2/20/19 4:21,33041.7,28090.2,8.66,40569.3,25.926,,,,
111,2/20/19 4:31,33041.7,28104,8.66,40589,25.9401,,,,
112,2/20/19 4:41,33041.7,28104,8.67,40578.7,25.9327,,,,
113,2/20/19 4:51,33041.7,28134.5,8.68,40612.1,25.9564,,,,
114,2/20/19 5:01,33041.7,28148.4,8.68,40632,25.9706,,,,
115,2/20/19 5:11,33041.7,28153.9,8.7,40619.2,25.9615,,,,
116,2/20/19 5:21,33041.7,28178.9,8.7,40655,25.9869,,,,
117,2/20/19 5:31,33041.7,28156.7,8.7,40623.2,25.9644,,,,
118,2/20/19 5:41,33041.7,28140.1,8.71,40589.2,25.9402,,,,
119,2/20/19 5:51,33041.7,28134.5,8.7,40591.5,25.9418,,,,
120,2/20/19 6:01,33041.7,28134.5,8.7,40591.5,25.9418,,,,
