Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,2/25/19 10:11,33041.7,28051.5,8.48,40699.6,26.0186,Logged,,,
2,2/25/19 10:21,33041.7,28062.5,8.5,40694.7,26.0151,,,,
3,2/25/19 10:31,33041.7,28046,8.5,40671,25.9982,,,,
4,2/25/19 10:41,33041.7,28073.6,8.51,40700.3,26.0191,,,,
5,2/25/19 10:51,33041.7,28068.1,8.52,40682,26.0061,,,,
6,2/25/19 11:01,33041.7,28095.7,8.52,40721.7,26.0343,,,,
7,2/25/19 11:11,33041.7,28095.7,8.53,40711.3,26.0269,,,,
8,2/25/19 11:21,33041.7,28112.3,8.55,40714.5,26.0291,,,,
9,2/25/19 11:31,33041.7,28112.3,8.53,40735.2,26.0438,,,,
10,2/25/19 11:41,33041.7,28112.3,8.55,40714.5,26.0291,,,,
11,2/25/19 11:51,33041.7,28126.2,8.53,40755.1,26.058,,,,
12,2/25/19 12:01,33041.7,28095.7,8.55,40690.6,26.0122,,,,
13,2/25/19 12:11,33041.7,28120.6,8.56,40716,26.0303,,,,
14,2/25/19 12:21,33041.7,28117.9,8.56,40712.1,26.0275,,,,
15,2/25/19 12:31,33041.7,28126.2,8.55,40734.4,26.0433,,,,
16,2/25/19 12:41,33041.7,28112.3,8.55,40714.5,26.0291,,,,
17,2/25/19 12:51,33041.7,28126.2,8.56,40724.1,26.036,,,,
18,2/25/19 13:01,33041.7,28109.6,8.56,40700.2,26.019,,,,
19,2/25/19 13:11,33041.7,28134.5,8.55,40746.3,26.0518,,,,
20,2/25/19 13:21,33041.7,28117.9,8.56,40712.1,26.0275,,,,
21,2/25/19 13:31,33041.7,28129,8.56,40728.1,26.0388,,,,
22,2/25/19 13:41,33041.7,28076.4,8.55,40662.9,25.9925,,,,
23,2/25/19 13:51,33041.7,28001.9,8.52,40586.9,25.9386,,,,
24,2/25/19 14:01,33041.7,28023.9,8.52,40618.5,25.961,,,,
25,2/25/19 14:11,33041.7,27996.4,8.51,40589.3,25.9403,,,,
26,2/25/19 14:21,33041.7,27949.7,8.49,40542.9,25.9073,,,,
27,2/25/19 14:31,33041.7,27756.1,8.43,40326.1,25.7534,,,,
28,2/25/19 14:41,32711.7,27538,8.34,40103.9,25.5959,,,,
29,2/25/19 14:51,32371.5,27378.4,8.28,39934.7,25.476,,,,
30,2/25/19 15:01,32126.5,27222.9,8.22,39770.9,25.36,,,,
31,2/25/19 15:11,31938.3,27100.2,8.17,39643.9,25.2701,,,,
32,2/25/19 15:21,31749.2,27019.8,8.14,39557.7,25.2091,,,,
33,2/25/19 15:31,31655.2,27001.6,8.12,39551.6,25.2048,,,,
34,2/25/19 15:41,31563.8,26932,8.1,39470.8,25.1476,,,,
35,2/25/19 15:51,31563.8,26926.9,8.09,39473.5,25.1495,,,,
36,2/25/19 16:01,31563.8,26919.1,8.09,39462.1,25.1415,,,,
37,2/25/19 16:11,31610.6,26939.7,8.1,39481.9,25.1555,,,,
38,2/25/19 16:21,31608.3,26965.5,8.11,39509.3,25.1749,,,,
39,2/25/19 16:31,31749.2,27032.7,8.14,39576.4,25.2224,,,,
40,2/25/19 16:41,31843.6,27092.4,8.18,39622.5,25.2549,,,,
41,2/25/19 16:51,32031,27126.2,8.21,39641,25.2681,,,,
42,2/25/19 17:01,32128.9,27202,8.25,39710.1,25.317,,,,
43,2/25/19 17:11,32176.7,27283.3,8.27,39807.4,25.3858,,,,
44,2/25/19 17:21,32272.7,27338.7,8.31,39846.8,25.4137,,,,
45,2/25/19 17:31,32417.4,27391.6,8.34,39892.6,25.4462,,,,
46,2/25/19 17:41,32516.8,27471.3,8.36,39987.3,25.5132,,,,
47,2/25/19 17:51,32616.5,27476.6,8.37,39984.7,25.5114,,,,
48,2/25/19 18:01,32616.5,27532.7,8.41,40024.8,25.5398,,,,
49,2/25/19 18:11,32662.9,27532.7,8.41,40024.8,25.5398,,,,
50,2/25/19 18:21,32714.2,27559.4,8.42,40053.1,25.5598,,,,
51,2/25/19 18:31,32763.2,27559.4,8.43,40042.9,25.5526,,,,
52,2/25/19 18:41,32814.7,27615.8,8.44,40113.8,25.6029,,,,
53,2/25/19 18:51,32863.9,27642.7,8.45,40142.3,25.6231,,,,
54,2/25/19 19:01,32913.1,27642.7,8.47,40121.9,25.6086,,,,
55,2/25/19 19:11,33019.4,27693.9,8.47,40195.6,25.6609,,,,
56,2/25/19 19:21,33014.4,27745.3,8.48,40259.2,25.706,,,,
57,2/25/19 19:31,33041.7,27758.8,8.49,40268.4,25.7125,,,,
58,2/25/19 19:41,33041.7,27748,8.49,40252.9,25.7015,,,,
59,2/25/19 19:51,33041.7,27791.4,8.49,40315.3,25.7458,,,,
60,2/25/19 20:01,33041.7,27794.1,8.49,40319.2,25.7485,,,,
61,2/25/19 20:11,33041.7,27813.1,8.49,40346.5,25.7679,,,,
62,2/25/19 20:21,33041.7,27813.1,8.49,40346.5,25.7679,,,,
63,2/25/19 20:31,33041.7,27851.2,8.5,40391,25.7995,,,,
64,2/25/19 20:41,33041.7,27843.1,8.51,40369.1,25.7839,,,,
65,2/25/19 20:51,33041.7,27886.7,8.51,40431.7,25.8284,,,,
66,2/25/19 21:01,33041.7,27892.2,8.52,40429.3,25.8267,,,,
67,2/25/19 21:11,33041.7,27927.8,8.53,40470.2,25.8557,,,,
68,2/25/19 21:21,33041.7,27957.9,8.53,40513.4,25.8864,,,,
69,2/25/19 21:31,33041.7,27971.7,8.55,40512.6,25.8858,,,,
70,2/25/19 21:41,33041.7,27988.1,8.56,40525.9,25.8952,,,,
71,2/25/19 21:51,33041.7,28001.9,8.57,40535.4,25.902,,,,
72,2/25/19 22:01,33041.7,28029.4,8.57,40574.8,25.93,,,,
73,2/25/19 22:11,33041.7,28054.3,8.57,40610.6,25.9553,,,,
74,2/25/19 22:21,33041.7,28037.7,8.58,40576.4,25.9311,,,,
75,2/25/19 22:31,33041.7,28081.9,8.58,40639.8,25.9761,,,,
76,2/25/19 22:41,33041.7,28070.8,8.59,40613.6,25.9575,,,,
77,2/25/19 22:51,33041.7,28073.6,8.58,40627.9,25.9677,,,,
78,2/25/19 23:01,33041.7,28087.4,8.59,40637.4,25.9744,,,,
79,2/25/19 23:11,33041.7,28104,8.59,40661.2,25.9913,,,,
80,2/25/19 23:21,33041.7,28087.4,8.59,40637.4,25.9744,,,,
81,2/25/19 23:31,33041.7,28131.7,8.59,40700.9,26.0195,,,,
82,2/25/19 23:41,33041.7,28126.2,8.6,40682.7,26.0066,,,,
83,2/25/19 23:51,33041.7,28148.4,8.6,40714.5,26.0292,,,,
84,2/26/19 0:01,33041.7,28148.4,8.6,40714.5,26.0292,,,,
85,2/26/19 0:11,33041.7,28134.5,8.6,40694.6,26.015,,,,
86,2/26/19 0:21,33041.7,28162.3,8.6,40734.5,26.0434,,,,
87,2/26/19 0:31,33041.7,28162.3,8.6,40734.5,26.0434,,,,
88,2/26/19 0:41,33041.7,28153.9,8.63,40691.4,26.0128,,,,
89,2/26/19 0:51,33041.7,28162.3,8.62,40713.8,26.0287,,,,
90,2/26/19 1:01,33041.7,28176.2,8.6,40754.4,26.0575,,,,
91,2/26/19 1:11,33041.7,28176.2,8.62,40733.7,26.0428,,,,
92,2/26/19 1:21,33041.7,28184.5,8.62,40745.6,26.0513,,,,
93,2/26/19 1:31,33041.7,28192.9,8.62,40757.6,26.0598,,,,
94,2/26/19 1:41,33041.7,28192.9,8.62,40757.6,26.0598,,,,
95,2/26/19 1:51,33041.7,28184.5,8.62,40745.6,26.0513,,,,
96,2/26/19 2:01,33041.7,28176.2,8.62,40733.7,26.0428,,,,
97,2/26/19 2:11,33041.7,28170.6,8.6,40746.4,26.0518,,,,
98,2/26/19 2:21,33041.7,28184.5,8.6,40766.3,26.066,,,,
99,2/26/19 2:31,33041.7,28046,8.56,40609,25.9542,,,,
100,2/26/19 2:41,33041.7,27873.1,8.48,40443,25.8364,,,,
101,2/26/19 2:51,32863.9,27642.7,8.39,40203.7,25.6667,,,,
