Plot Title: 20449374_Conductivity,,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)",Coupler Detached (LGR S/N: 20449374),Coupler Attached (LGR S/N: 20449374),Stopped (LGR S/N: 20449374),End Of File (LGR S/N: 20449374)
1,5/28/19 13:41,33041.7,29061,11.15,39440.4,25.1261,Logged,,,
2,5/28/19 13:51,33041.7,29069.8,11.15,39452.2,25.1345,,,,
3,5/28/19 14:01,33041.7,29087.4,11.17,39456.7,25.1377,,,,
4,5/28/19 14:11,33041.7,29046.4,11.19,39382.3,25.0851,,,,
5,5/28/19 14:21,33041.7,29055.2,11.2,39384.5,25.0867,,,,
6,5/28/19 14:31,33041.7,29078.6,11.22,39396.8,25.0953,,,,
7,5/28/19 14:41,33041.7,29087.4,11.23,39399.1,25.0969,,,,
8,5/28/19 14:51,33041.7,29052.2,11.24,39342.1,25.0567,,,,
9,5/28/19 15:01,33041.7,29066.9,11.27,39333.2,25.0503,,,,
10,5/28/19 15:11,33041.7,29075.7,11.28,39335.4,25.0519,,,,
11,5/28/19 15:21,33041.7,29093.3,11.3,39339.9,25.0551,,,,
12,5/28/19 15:31,33041.7,29090.4,11.31,39326.4,25.0456,,,,
13,5/28/19 15:41,33041.7,29108,11.34,39321.4,25.042,,,,
14,5/28/19 15:51,33041.7,29099.2,11.35,39300,25.0269,,,,
15,5/28/19 16:01,33041.7,29099.2,11.37,39280.9,25.0134,,,,
16,5/28/19 16:11,33041.7,29066.9,11.38,39228.1,24.9761,,,,
17,5/28/19 16:21,33041.7,29105,11.4,39260.1,24.9987,,,,
18,5/28/19 16:31,33041.7,29125.6,11.42,39268.6,25.0047,,,,
19,5/28/19 16:41,33041.7,29131.5,11.43,39266.9,25.0036,,,,
20,5/28/19 16:51,33041.7,29105,11.44,39221.9,24.9718,,,,
21,5/28/19 17:01,33041.7,29090.4,11.47,39173.9,24.9378,,,,
22,5/28/19 17:11,33041.7,29146.2,11.48,39239,24.9838,,,,
23,5/28/19 17:21,33041.7,29146.2,11.5,39219.9,24.9703,,,,
24,5/28/19 17:31,33041.7,29137.4,11.51,39198.7,24.9553,,,,
25,5/28/19 17:41,33041.7,29128.5,11.51,39186.8,24.9469,,,,
26,5/28/19 17:51,33041.7,29143.2,11.52,39196.9,24.9541,,,,
27,5/28/19 18:01,33041.7,29178.6,11.52,39244.2,24.9875,,,,
28,5/28/19 18:11,33041.7,29155,11.51,39222.2,24.9719,,,,
29,5/28/19 18:21,33041.7,29160.9,11.51,39230.1,24.9775,,,,
30,5/28/19 18:31,33041.7,29110.9,11.51,39163.3,24.9303,,,,
31,5/28/19 18:41,33041.7,29119.7,11.5,39184.5,24.9453,,,,
32,5/28/19 18:51,33041.7,29113.8,11.48,39195.7,24.9532,,,,
33,5/28/19 19:01,33041.7,29163.9,11.47,39272.2,25.0072,,,,
34,5/28/19 19:11,33041.7,29113.8,11.46,39214.7,24.9666,,,,
35,5/28/19 19:21,33041.7,29113.8,11.45,39224.2,24.9734,,,,
36,5/28/19 19:31,33041.7,29128.5,11.44,39253.4,24.994,,,,
37,5/28/19 19:41,33041.7,29072.8,11.43,39188.4,24.948,,,,
38,5/28/19 19:51,33041.7,29113.8,11.4,39271.8,25.007,,,,
39,5/28/19 20:01,33041.7,29099.2,11.4,39252.3,24.9932,,,,
40,5/28/19 20:11,33041.7,29105,11.39,39269.6,25.0054,,,,
41,5/28/19 20:21,33041.7,29066.9,11.38,39228.1,24.9761,,,,
42,5/28/19 20:31,33041.7,29090.4,11.37,39269.1,25.0051,,,,
43,5/28/19 20:41,33041.7,29066.9,11.35,39256.7,24.9963,,,,
44,5/28/19 20:51,33041.7,29066.9,11.34,39266.2,25.0031,,,,
45,5/28/19 21:01,33041.7,29066.9,11.31,39294.9,25.0233,,,,
46,5/28/19 21:11,33041.7,29034.7,11.29,39270.8,25.0063,,,,
47,5/28/19 21:21,33041.7,29028.8,11.27,39282,25.0142,,,,
48,5/28/19 21:31,33041.7,29046.4,11.24,39334.3,25.0512,,,,
49,5/28/19 21:41,33041.7,28996.7,11.22,39286.6,25.0175,,,,
50,5/28/19 21:51,33041.7,29023,11.2,39341.2,25.056,,,,
51,5/28/19 22:01,33041.7,29017.1,11.17,39362,25.0707,,,,
52,5/28/19 22:11,33041.7,29014.2,11.14,39386.9,25.0883,,,,
53,5/28/19 22:21,33041.7,28999.6,11.12,39386.4,25.088,,,,
54,5/28/19 22:31,33041.7,28976.3,11.09,39383.8,25.0862,,,,
55,5/28/19 22:41,33041.7,28979.2,11.06,39416.6,25.1093,,,,
56,5/28/19 22:51,33041.7,28953,11.04,39400.5,25.0979,,,,
57,5/28/19 23:01,33041.7,28947.2,11,39431.2,25.1196,,,,
58,5/28/19 23:11,33041.7,28970.5,10.99,39472.3,25.1487,,,,
59,5/28/19 23:21,33041.7,28938.4,10.96,39457.8,25.1385,,,,
60,5/28/19 23:31,33041.7,28950.1,10.93,39502.6,25.1702,,,,
61,5/28/19 23:41,33041.7,28979.2,10.92,39551.7,25.2049,,,,
62,5/28/19 23:51,33041.7,28923.9,10.92,39476.8,25.1519,,,,
63,5/29/19 0:01,33041.7,28941.3,10.9,39519.7,25.1823,,,,
64,5/29/19 0:11,33041.7,28932.6,10.89,39517.6,25.1808,,,,
65,5/29/19 0:21,33041.7,28950.1,10.86,39570.4,25.2181,,,,
66,5/29/19 0:31,33041.7,28935.5,10.85,39560.3,25.2109,,,,
67,5/29/19 0:41,33041.7,28909.4,10.84,39534.5,25.1927,,,,
68,5/29/19 0:51,33041.7,28926.8,10.83,39567.9,25.2163,,,,
69,5/29/19 1:01,33041.7,28918.1,10.82,39565.7,25.2148,,,,
70,5/29/19 1:11,33041.7,28912.3,10.81,39567.6,25.2161,,,,
71,5/29/19 1:21,33041.7,28894.9,10.8,39553.6,25.2062,,,,
72,5/29/19 1:31,33041.7,28886.2,10.78,39561.2,25.2116,,,,
73,5/29/19 1:41,33041.7,28894.9,10.8,39553.6,25.2062,,,,
74,5/29/19 1:51,33041.7,28903.6,10.77,39594.6,25.2352,,,,
75,5/29/19 2:01,33041.7,28894.9,10.77,39582.7,25.2268,,,,
76,5/29/19 2:11,33041.7,28894.9,10.78,39573,25.22,,,,
77,5/29/19 2:21,33041.7,28886.2,10.78,39561.2,25.2116,,,,
78,5/29/19 2:31,33041.7,28894.9,10.78,39573,25.22,,,,
79,5/29/19 2:41,33041.7,28886.2,10.8,39541.8,25.1979,,,,
80,5/29/19 2:51,33041.7,28897.8,10.8,39557.6,25.209,,,,
81,5/29/19 3:01,33041.7,28903.6,10.82,39546.1,25.2009,,,,
